sentence,packed_sentence,entities
請問新加坡飛台灣,請問(VE)　新加坡(Nc)　飛(VA)　台灣(Nc),"[{'word': '新加坡', 'ner': 'GPE'}, {'word': '台灣', 'ner': 'GPE'}]"
星宇星加坡長榮會怎麼選呢,星宇(Nb)　星加坡(Nc)　長榮(Nb)　會(D)　怎麼(D)　選(VC)　呢(T),"[{'word': '星宇', 'ner': 'ORG'}, {'word': '星加坡', 'ner': 'GPE'}]"
看票價星宇是便宜蠻多的不明白怎麼差那麼多,看(VC)　票價(Na)　星宇(Nb)　是(SHI)　便宜(VH)　蠻(Dfa)　多(VH)　的(DE)　不(D)　明白(VK)　怎麼(D)　差(VH)　那麼多(Neqa),[]
但是如果選星宇累計的里程和星加坡長榮應該是分開的,但是(Cbb)　如果(Cbb)　選(VC)　星宇(Na)　累計(VJ)　的(DE)　里程(Na)　和(Caa)　星加坡(Nc)　長榮(Nb)　應該(D)　是(SHI)　分開(VHC)　的(DE),"[{'word': '星宇', 'ner': 'ORG'}, {'word': '星加坡', 'ner': 'GPE'}]"
論位置的話,論(P)　位置(Na)　的話(Cba),[]
這三家哪個會比較大呢,這(Nep)　三(Neu)　家(Nf)　哪(Nep)　個(Nf)　會(D)　比較(Dfa)　大(VH)　呢(T),"[{'word': '三', 'ner': 'CARDINAL'}]"
還是都用班機時刻選,還是(D)　都(D)　用(P)　班機(Na)　時刻(Na)　選(VC),[]
請問大家會怎麼選,請問(VE)　大家(Nh)　會(D)　怎麼(D)　選(VC),[]
感謝,感謝(VK),[]
這有什麼好糾結的,這(Nep)　有(V_2)　什麼(Nep)　好(Dfa)　糾結(VH)　的(T),[]
你沒高卡沒哩程需求就是選便宜的啊,你(Nh)　沒(VJ)　高卡(Na)　沒(VJ)　哩程(Na)　需求(Na)　就(D)　是(SHI)　選(VC)　便宜(VH)　的(DE)　啊(T),[]
星宇你應該是看到只能托運件的我最近也有注意到,星宇(Nb)　你(Nh)　應該(D)　是(SHI)　看到(VE)　只(Da)　能(D)　托運(VC)　件(Nf)　的(DE)　我(Nh)　最近(Nd)　也(D)　有(D)　注意到(VK),"[{'word': '星宇', 'ner': 'ORG'}]"
金城武都選長榮你參考,金城武(Nc)　都(D)　選(VC)　長榮(Nb)　你(Nh)　參考(VC),"[{'word': '金城', 'ner': 'GPE'}, {'word': '武都', 'ner': 'GPE'}, {'word': '榮', 'ner': 'PERSON'}]"
非哩程卡客就挑便宜的啊為什麼便宜可能剛好低價票還有或設定促銷票給你看到,非(A)　哩程(Na)　卡客(Na)　就(D)　挑(VC)　便宜(VH)　的(DE)　啊(T)　為什麼(D)　便宜(VH)　可能(D)　剛好(Da)　低價票(Na)　還(Caa)　有(V_2)　或(Caa)　設定(VC)　促銷票(Na)　給(P)　你(Nh)　看到(VE),[]
做頂的,做(VC)　頂(Na)　的(DE),[]
台灣新加坡航線,台灣(Nc)　新加坡(Nc)　航線(Na),"[{'word': '台灣', 'ner': 'GPE'}, {'word': '新加坡', 'ner': 'GPE'}]"
不管什麼航空基本票價都是件行李,不管(Cbb)　什麼(Nep)　航空(Na)　基本(A)　票價(Na)　都(D)　是(SHI)　件(Nf)　行李(Na),[]
經濟,經濟(Na),[]
商務,商務(Na),[]
通常我看到都星宇都貴很多欸每次都覺得他們真敢,通常(D)　我(Nh)　看到(VE)　都星宇(D)　都(D)　貴(VH)　很多(VH)　欸(I)　每(Nes)　次(Nf)　都(D)　覺得(VK)　他們(Nh)　真(D)　敢(VL),[]
你去全家消費可以累積嗎,你(Nh)　去(D)　全(Neqa)　家(Nc)　消費(VA)　可以(D)　累積(VC)　嗎(T),[]
來這裡問就是搭最貴的,來(VA)　這裡(Ncd)　問(VE)　就(Cbb)　是(SHI)　搭(VC)　最(Dfa)　貴(VH)　的(DE),[]
新航,新航(Nc),"[{'word': '新航', 'ner': 'ORG'}]"
不然香港換國泰,不然(Cbb)　香港(Nc)　換(VC)　國泰(Nb),"[{'word': '香港', 'ner': 'GPE'}]"
國內三家都是垃圾,國內(Nc)　三(Neu)　家(Nc)　都(D)　是(SHI)　垃圾(Na),"[{'word': '三', 'ner': 'CARDINAL'}]"
酷航都完勝三家國籍,酷航(Nb)　都(D)　完勝(VH)　三(Neu)　家(Nf)　國籍(Na),"[{'word': '酷航', 'ner': 'ORG'}, {'word': '三', 'ner': 'CARDINAL'}]"
真心不騙,真心(VH)　不(D)　騙(VC),[]
